métier,Compétences
Analyse de crédits et risques bancaires (C1202),"procéder à une analyse technico-économique de la demande de crédit du client (situation financière, fiscale, ...),identifier les sources de risques (économiques, financiers, juridiques, ...) et évaluer la rentabilité de l'opération pour la banque,etablir un compte rendu sur l'analyse de risques et présenter un avis technique (demande de garanties, ...),suivre les dossiers clients en débit et proposer des mesures correctives pour la remboursabilité des crédits à terme."
Relation clients banque/finance (C1203),"préparer les entretiens commerciaux clients/prospects (consultation de dossiers clients, ...),identifier les besoins du client/prospect en fonction de sa situation financière et présenter l'offre commerciale globale de la banque,proposer les services (gestion sous mandat, recouvrement de créance, ...), les produits adaptés à la gestion des comptes de la structure,rendre décision sur les demandes de crédit en fonction de l'analyse du dossier client et du montant de délégation,analyser les causes des découverts, des mouvements de trésorerie, ... des comptes clients et déterminer des mesures correctives,développer un portefeuille de clients/prospects,etablir les documents de synthèse (rapport de gestion, ...) et les rapports de performance (taux de rendement, ...) pour les clients du portefeuille géré"
Conception et expertise produits bancaires et financiers (C1204),"identifier les évolutions des produits financiers et des besoins des clients en fonction des données du marché bancaire,définir les caractéristiques de nouveaux produits, l'adaptation de produits existants,etudier la faisabilité économique et technique du produit sur le marché bancaire ciblé et déterminer le planning de lancement,définir et mettre en oeuvre des visites de clientèle, prospections, phoning, ...,elaborer les supports d'information destinés aux équipes commerciales (plaquettes de publicité, notices autorité des marchés financiers , ...),suivre et analyser les indicateurs de performance des produits et proposer des ajustements,apporter un appui commercial et technique à des collaborateurs"
Conseil en gestion de patrimoine financier (C1205),"consulter les fichiers clients en préparation des entretiens programmés,analyser la situation financière du client et réaliser un bilan de sa structure patrimoniale (assurance vie, valeurs mobilières, ...),définir avec le client ses objectifs (constitution d'une épargne, défiscalisation, ...) selon ses besoins (régime matrimonial, succession, ...),etablir une étude patrimoniale, proposer les cadres juridiques, fiscaux et les produits adaptés (assurance vie, portefeuille boursier, ...),déterminer une stratégie financière (achat de titres, assurance vie, immobilier, ...) et orienter si besoin le client vers un avocat, un notaire ou un gérant de portefeuille,etablir ou vérifier les documents justificatifs de placement, les rapports de rentabilité des produits financiers contractés et les adresser au client,suivre et mettre à jour les dossiers clients à chaque évènement (cession de biens, succession, divorce, ...)"
Gestion de clientèle bancaire (C1206),"consulter les fichiers clients en préparation des entretiens programmés,réaliser un bilan de la situation financière du client et effectuer des propositions commerciales,proposer le service/produit financier adapté à la demande du client,arrêter avec le client les conditions des contrats (mensualités, taux de rapport, ...) selon les produits et services,renseigner les formulaires de contractualisation, collecter et transmettre des pièces justificatives pour décision,développer un portefeuille de clients/prospects,effectuer la veille des comptes débiteurs, analyser les causes (perte d'emploi, surendettement, ...) et rechercher des solutions amiables"
Management en exploitation bancaire (C1207),"réaliser un état des lieux de l'opérationnalité de la structure (agence bancaire, groupe d'agences, ...),suivre les états d'alerte (comptes débiteurs, placements à échéance, ...) de la structure et déterminer les actions à engager (rejet de paiement, procédure de sanction, ...),rendre décision sur les dossiers de financement selon la délégation en charge,réaliser le contrôle interne des actes bancaires (administration de comptes, passation d'ordres de bourse, ...),suivre la comptabilité de la structure et vérifier l'enregistrement des opérations bancaires, les justificatifs comptables réglementaires,représenter la structure auprès d'instances de décision (comité interne, ...) ou lors d’événements (salons professionnels, ...),evaluer l'activité de la structure (revenu brut d'exploitation, produit net bancaire réalisé, ...) et définir les actions correctrices (campagne commerciale de proximité, ...)"
Front office marchés financiers (C1301),"analyser l'information financière, économique et géopolitique pouvant impacter les marchés,suivre les valeurs boursières, les indices de référence et établir les courbes d'évolution des produits financiers,evaluer les risques de perte financière, la marge par rapport au prix du produit et à la durée de l'investissement,proposer une stratégie d'investissement, des orientations d'achats, ... et émettre des ordres d'achat/vente,mettre à jour les fichiers clients, répertorier les ordres d'achat/vente passés sur la période et les transmettre au service middle ou back-office"
Gestion back et middle-office marchés financiers (C1302),"paramétrer les outils de gestion des opérations de marché (cession, confirmation, règlement/livraison, ...) après mise à jour des référentiels (valeurs, portefeuille, émetteur, ...),déterminer les résultats quotidiens par produit, ligne de produits (titres, taux, ...) et établir les courbes d'évolution,vérifier les enregistrements comptables des opérations de marché et corriger les écarts par rapport aux états des opérateurs/négociateurs,valoriser les portefeuilles d'actifs financiers en continu,effectuer la gestion des règlements/livraisons (message de paiement, contrôle de dénouement, ...) et des évènements sur titres (paiement de coupon/dividende, ...),contrôler le respect des limites des sommes engagées par les opérateurs financiers et prendre les mesures correctives,etablir les rapports périodiques de gestion, de performance, ..."
Gestion de portefeuilles sur les marchés financiers (C1303),"analyser l'information financière, économique et géopolitique pouvant impacter les marchés,identifier les objectifs et les priorités des clients (valorisation de capital, fonds sécurisés, revenu régulier, ...),calculer la valeur quotidienne de chaque actif financier du portefeuille, son évolution et mesurer les risques financiers,identifier les besoins en renouvellement de titres/actifs financiers du portefeuille selon leur courbe d'évolution et les indices des marchés financiers,surveiller l'équilibre de répartition du portefeuille (actions, obligations, ...) suivant les critères de rentabilité souhaités,réguler la vente d'actifs financiers sur le marché boursier,etablir des rapports de gestion, de performance du portefeuille et les transmettre à la hiérarchie, au conseil du marché financier -cmf-, aux clients, ..."
Gestion en banque et assurance (C1401),"effectuer l'accueil téléphonique et la réception des clients et les renseigner ou les orienter,procéder à l'enregistrement, au tri, à l'affranchissement du courrier,enregistrer et contrôler les pièces constitutives de dossiers administratifs (relevé de situation, pièce d'identité, fichier banque de france, ...),effectuer la vérification et le suivi des dossiers des clients/prospects/assurés,codifier et saisir les données clients (enregistrement de chèques, ordres de bourse, ...) et mettre à jour les tableaux de suivi,elaborer les attestations fiscales, échéanciers de cotisations, relevés boursiers, relevés de situation des clients, ... et les documents de suivi de l'activité"
Gérance immobilière (C1501),"définir ou mettre en oeuvre la stratégie de gestion du patrimoine immobilier (loyers, charges, baux, entretien, peuplement, ...),définir et planifier les travaux d'entretien, de rénovation, de réhabilitation, de construction ou d'aménagement du patrimoine immobilier,evaluer et étudier la faisabilité technique, juridique et financière d'un projet,piloter la préparation de travaux et sélectionner les entreprises, les prestataires,suivre et contrôler la conformité des travaux jusqu'à la réception,effectuer la gestion et le suivi des contrats de maintenance et d'entretien du patrimoine immobilier,mettre en place les actions (contentieux, recouvrement, ...) à la suite de réclamations ou d'anomalies,suivre les budgets et renseigner les documents comptables, juridiques, fiscaux, ..."
Gestion locative immobilière (C1502),"analyser les demandes de location, procéder au suivi des vacances de logements et proposer l'attribution de logements,etablir les baux immobiliers et effectuer le suivi administratif de recouvrement des loyers et charges (quittances, déclenchement des procédures en cas d'impayés, ...),actualiser les informations communiquées aux locataires et répondre aux demandes et réclamations de la clientèle,collaborer à la programmation et à la réalisation d'actions de réhabilitation de patrimoine immobilier,evaluer les travaux d'entretien ou de réparation du patrimoine immobilier et préparer les demandes d'intervention,renseigner les supports de suivi d'activité et transmettre les informations au service concerné,contrôler la conformité de réalisations de fournisseurs, sous-traitants, prestataires"
Management de projet immobilier (C1503),"suivre et analyser l'évolution du marché foncier de l'immobilier et de la construction,prospecter le marché (terrains à bâtir et biens immobiliers, ... ), étudier la faisabilité et la rentabilité du projet,etablir les budgets prévisionnels, les montages juridiques et financiers et suivre les procédures administratives (certificat d'urbanisme, permis de construire, ...),effectuer les procédures d'acquisition du terrain, du bien immobilier,déterminer les commandes de travaux (maîtrise, ingénierie, ...) et sélectionner les entreprises et les architectes, maîtres d'oeuvre, ...,suivre et coordonner les différents intervenants, prestataires (techniques, commerciaux, juridiques, études, maîtres d'oeuvre, ...),contrôler la conformité de réalisation du projet, du chantier, des prestations et effectuer des ajustements"
Transaction immobilière (C1504),"rechercher les biens immobiliers, les terrains et prospecter les clients,définir les besoins du client (prix, superficie, situation, ...) et formaliser la demande de transaction,evaluer la valeur d'un bien immobilier et conseiller le client sur les améliorations et les obligations réglementaires,réaliser le descriptif de présentation et de valorisation du bien immobilier (plan, photos, ...) et les actions de promotion commerciale,présenter un bien immobilier à un client et informer sur les modalités d'acquisition,négocier et arrêter la transaction immobilière, recueillir les informations et documents (revenus, mandats, ...),assister et conseiller le client jusqu'au terme de la transaction (plan de financement, obtention de documents administratifs, ...)"
Représentation de l'Etat sur le territoire national ou international (K1405),"expliciter les positions de l'etat, la politique gouvernementale auprès des responsables de collectivités territoriales, des autorités étrangères et de l'opinion publique,suivre l'évolution de la conjoncture de la circonscription ou du pays et en informer le gouvernement et les autorités tunisiennes,animer les actions et coordonner les moyens de services déconcentrés de l'etat ou de services à l'étranger,etablir des accords, des conventions, des relations contractuelles au nom de l'etat avec des collectivités locales, des associations et des partenaires locaux,représenter le gouvernement lors de cérémonies officielles et d'interventions publiques (inaugurations, voeux, accueil de personnalités, ...)"
Application des règles financières publiques (K1501),"effectuer la collecte et la saisie des données nécessaires à l'établissement des droits ou taxes (droit de cession, tva, impôts sur le revenu, ...),procéder à la tenue de la comptabilité de l'etat, des collectivités locales et des établissements publics,réaliser le contrôle et le paiement des dépenses (traitements, pensions, investissement, ...) de l'etat, de collectivités locales, d'établissements publics,procéder à la tenue et au traitement de fichiers de contribuables,renseigner les particuliers/entreprises et leur apporter un appui technique sur le paiement de l'impôt, ...,déterminer l'assiette des impôts (taxe locale, impôts sur le revenu, ...) ou effectuer un contrôle de premier niveau des impositions,encaisser/recouvrer les impôts ou les créances des collectivités locales (crèches, cantines scolaires, ...)"
Contrôle et inspection des Affaires Sociales (K1502),"instruire les requêtes/plaintes des salariés, des employeurs, ... par une enquête, une mise en place de procédures,procéder à des visites d'inspection et de contrôle des entreprises, des institutions sanitaires et sociales et vérifier l'application de la législation,constater les infractions et prendre les mesures appropriées (rappel des obligations légales, mise en demeure, procès-verbal, ...),mettre en oeuvre les politiques en matière de législation du travail, de santé publique et conseiller les établissements de santé, organismes d'assurance maladie, ...,effectuer le traitement et le suivi administratif des rapports de contrôle, des comptes rendus de visites, des procès-verbaux"
Contrôle et inspection des impôts (K1503),"renseigner les usagers et les conseiller dans leurs démarches fiscales (déclarations, obligations, ...),contrôler les dossiers, les déclarations des contribuables en matière d'impôts et de taxes locales et calculer le montant de l'imposition,programmer ou effectuer les vérifications de comptabilité auprès d'entreprises et apporter une expertise sur les règles fiscales,effectuer le traitement de dossiers et le suivi de contentieux auprès de particuliers, d'entreprises (examen de bilan comptable, procédure de dégrèvement, ...),assurer la gestion fiscale et le recouvrement de certains impôts (taxe sur la valeur ajoutée, taxes sur les salaires, impôts sur les sociétés, impôt de solidarité sur la fortune, timbres fiscaux, ...)"
Contrôle et inspection du Trésor Public (K1504),"accueillir et renseigner les usagers pour le règlement de leurs impôts, taxes, ...,effectuer la gestion et le pilotage des opérations de recouvrement des sommes dues par les contribuables,procéder à la tenue de la comptabilité de l'etat, des collectivités locales et des établissements publics,assurer des prestations d'expertise et de conseil en gestion budgétaire, financière et fiscale,conseiller économiquement et financièrement les entreprises et promouvoir les services de la structure,contrôler l'exécution des dépenses et l'encaissement des recettes de l'etat, des collectivités locales et des établissements publics"
Achats (M1101),"identifier les besoins en approvisionnement de l'entreprise et prospecter ou analyser le marché des fournisseurs et des produits,elaborer des appels d'offres ou des cahiers des charges fournisseurs, prestataires,analyser les réponses à appel d'offres et évaluer la capacité des fournisseurs à répondre aux demandes,négocier les prix et les délais de livraison des produits avec les fournisseurs,suivre l'exécution des contrats d'achats jusqu'à liquidation selon les clauses (quantité, qualité, délais de livraison, ...),evaluer les fournisseurs, les produits (audits, enquêtes de satisfaction, prélèvement d'échantillons, ...) et proposer des axes d'amélioration,actualiser les données (tendances du marché, nouveaux produits, référencement des fournisseurs, ...)"
Direction des achats (M1102),"définir les orientations stratégiques (investissements, équipements, spécialisation, ...) d'une structure ou participer à leur définition,elaborer ou faire évoluer les procédures de gestion des achats de l'entreprise,définir et suivre les objectifs de performance des achats, analyser les résultats et identifier des axes de progrès,elaborer le cahier des charges type, contrat type, catalogue de référencement, ... et apporter un appui à l'équipe du service achat,superviser la sélection des fournisseurs et attribuer les marchés,mettre en place les modalités de suivi des fournisseurs pour proposer des axes d'évolution,définir et suivre le budget d'une structure,coordonner l'activité d'un service et mener des actions de gestion de ressources humaines (recrutement, formation, ...),suivre et mettre à jour les informations professionnelles et réglementaires"
Analyse et ingénierie financière (M1201),"analyser l'information financière, économique et géopolitique pouvant impacter l’investissement et les marchés.,réaliser les modèles de prévisions pour l'entreprise, le projet de restructuration ou le produit financier étudié,estimer la valeur de l'entreprise analysée et élaborer les conclusions,etablir les recommandations de cession d'actifs financiers à destination des opérateurs sur les marchés,concevoir le business plan, l'introduction en bourse, l'offre publique d'achat pour des instances dirigeantes de l'entreprise conseillée,etudier/identifier les risques de crédits, de marché, ... de l'entreprise et proposer des solutions de couverture,apporter un appui technique à des courtiers, des traders, des trésoriers, ...en matière de litiges ou d'arbitrage"
Audit et contrôle comptables et financiers (M1202),"définir ou mettre en oeuvre les méthodes et procédures en matière de contrôle comptable, veiller à leur application et proposer des améliorations,elaborer et mettre en oeuvre le plan d'audit annuel d'une structure ou déterminer et superviser les missions d'audit,préparer les éléments nécessaires à un audit, les transmettre au commissaire aux comptes, au contrôleur de gestion, ... ou les analyser,contrôler la régularité, la fiabilité des opérations réalisées et des états financiers des structures,identifier et révéler les irrégularités ou les inexactitudes repérées lors d'enquêtes ou de vérifications"
Comptabilité (M1203),"vérifier et valider les éléments constitutifs des payes, de la facturation et des mandatements,procéder à la réglementation et à la saisie des factures, des mandats, des titres et effectuer le rapprochement bancaire,réaliser le suivi de la trésorerie et en valider la fiabilité,etablir et effectuer les déclarations fiscales et sociales légales,actualiser le paramétrage des systèmes de traitement des données comptables (taux de cotisation sociales, ...),etablir les états financiers,coordonner entre les différents services internes et externes (auditeurs et autorités)"
Contrôle de gestion (M1204),"définir et mettre en place les indicateurs et les procédures de suivi de l'activité de la structure,analyser les performances de la structure, contrôler les résultats financiers et préconiser des actions correctives,effectuer le suivi budgétaire et superviser les clôtures comptables, les opérations d'inventaire,conduire ou mettre en place le contrôle interne de la structure,réaliser le reporting auprès des instances dirigeantes et proposer des solutions d'optimisation de rentabilité de la structure,apporter un appui technique (conseil en gestion, études de coûts, ...) sur la réalisation d'économies"
Direction administrative et financière (M1205),"définir et mettre en place les procédures de gestion administrative et financière et les indicateurs nécessaires au suivi d'activité et au reporting à la direction,elaborer le budget prévisionnel de la structure, le présenter aux instances dirigeantes et effectuer les ajustements,suivre l'évolution des résultats financiers de la structure et établir son plan de financement,superviser, contrôler la gestion de la trésorerie et émettre des recommandations sur l'allocation des ressources financières aux instances dirigeantes,superviser et coordonner l'audit interne (évaluation des risques financiers, validation de choix fiscaux, ...),superviser et coordonner l'action des services, des conseils juridiques en matière de litige et de montages financiers"
Management de groupe ou de service comptable (M1206),"effectuer la gestion comptable et administrative d'une structure,etablir les déclarations fiscales et sociales d'une structure ou effectuer le suivi des enregistrements, des formalités légales, ...,procéder à l'établissement des situations intermédiaires, annexes comptables et financières du tableau de bord économique de la structure,elaborer le bilan et établir le compte de résultat de la structure,réaliser la tenue de la trésorerie, produire les états financiers et établir les prévisions de trésorerie,développer et maintenir les relations avec le commissaire aux comptes, les banques, pour les emprunts, les placements financiers, le crédit d'impôts, ..."
Trésorerie et financement (M1207),"suivre les positions de trésorerie et en contrôler la prise en compte comptable,etablir la trésorerie prévisionnelle dans le respect des ratios financiers d'endettement, de solvabilité, de fond de roulement,elaborer le budget de trésorerie selon les éléments comptables et financiers de l'entreprise et l'historique de son activité,déterminer les besoins en financement ou les disponibilités financières de la structure et mettre en place les actions adaptées (ligne de crédit, investissement, ...),evaluer les flux financiers entrants ou sortants de la structure et en définir les procédures de traitement et de sécurisation,détecter les fragilités financières de la structure et émettre des recommandations de gestion"
Direction de grande entreprise ou d'établissement public (M1301),"définir la politique générale (organisation, développement économique, ...) et les orientations financières de la structure,définir et superviser la politique de gestion des ressources humaines de la structure,superviser les directions stratégiques de la structure et organiser des échanges avec l'équipe de direction,suivre et analyser les données d'activité du service ou de la structure et proposer des axes d'évolution,mener des actions de communication/représentation auprès des acteurs de l'environnement socio-économique"
Direction de petite ou moyenne entreprise (M1302),"définir et décliner les orientations stratégiques d'une structure,organiser et mettre en place les modalités de fonctionnement de la structure,superviser la gestion des ressources humaines d'une structure (paie, formation, recrutement, ...),gérer les moyens budgétaires et matériels de la structure ou planifier les opérations financières,suivre et analyser les données d'activité du service ou de la structure et proposer des axes d'évolution,communiquer les informations sur les résultats d'activité, les évolutions, les enjeux en interne ou à des partenaires,définir l'objectif de rentabilité économique de la structure"
Conduite d'enquêtes (M1401),"identifier les personnes cibles, les informer sur la nature et le déroulement de l'enquête,guider la personne tout au long de l'enquête et réceptionner les données,compléter les formulaires, les questionnaires et les compte rendus,effectuer le classement des données collectées et transmettre les résultats de l'enquête"
Conseil en organisation et management d'entreprise (M1402),"analyser les besoins du client et définir les objectifs et le cadre de l'intervention,présenter des solutions au client et préconiser des améliorations en matière d'organisation, de procédures, d'outils,...,définir les modalités de mise en oeuvre des solutions retenues et identifier les indicateurs de suivi,accompagner le client dans la mise en oeuvre des solutions retenues et le conseiller sur l'organisation, les méthodes et les outils,suivre et mettre à jour l'information technique, économique, règlementaire, ..."
Études et prospectives socio-économiques (M1403),"définir les méthodes et les outils de traitement de l'information en fonction des moyens, coûts, délais, organisation, ...,rechercher les sources d'information économique, technologique, juridique, concurrentielle, ...,sélectionner les informations et les données (rapports, documentations, médias, enquêtes, ...),adapter les outils de traitement statistique de données, réaliser des études et formaliser les résultats,rédiger l'information produite (études, synthèses, rapports, bulletins, ...) et établir des prévisions, des évaluations, des recommandations, des perspectives, ...,présenter et diffuser les résultats des études réalisées"
Assistanat en ressources humaines (M1501),"suivre et mettre à jour les dossiers individuels des salariés et réaliser les déclarations réglementaires,collecter les besoins en formation du personnel et en réaliser une synthèse,elaborer et actualiser les supports de suivi et de gestion des ressources humaines (tableaux de bord sociaux, grilles de salaires, plannings des congés, ...),renseigner le personnel sur la législation sociale et les spécificités de la structure,mettre en place les élections des représentants du personnel,suivre le traitement des mesures disciplinaires et des relations avec les instances légales (inspection du travail, conseil des prud'hommes, ...),accueillir les nouveaux salariés et favoriser leur intégration dans la structure"
Développement des ressources humaines (M1502),"analyser les besoins de l'entreprise en formation, en recrutement et en mobilité professionnelle,déterminer et suivre le budget nécessaire à la mise en oeuvre de la politique de management et de développement des compétences de la structure,elaborer et mettre en oeuvre les plans de développement des compétences, la gestion de l'emploi et la mobilité professionnelle,organiser le suivi administratif des opérations de formation ou de recrutement,conseiller et accompagner les personnes, les services et les entreprises dans l'analyse des besoins en développement des ressources humaines,communiquer sur le management des emplois et des compétences avec les salariés, les représentants du personnel, ..."
Management des ressources humaines (M1503),"elaborer la politique de management des ressources humaines selon les orientations stratégiques de la structure et définir les plans d'action,concevoir et piloter les opérations liées à la gestion des emplois et des compétences,organiser la concertation et le dialogue social avec les membres du personnel ou leurs représentants,contrôler la conformité d'application des obligations légales et réglementaires et mettre en place les actions appropriées,superviser la gestion administrative du personnel,elaborer ou faire évoluer les procédures, les supports de suivi et de gestion du personnel de la structure,suivre et mettre à jour les informations professionnelles et réglementaires"
Opérations administratives (M1602),"procéder à l'enregistrement, au tri, à l'affranchissement du courrier,réaliser des opérations de saisie de courrier, de tableaux, ... selon les consignes,constituer les dossiers administratifs et contrôler les données, leur mise à jour, les retours ou les relances"
Assistanat de direction (M1604),"organiser les rendez vous, le planning d'un responsable, d'un collaborateur et filtrer les appels et les accueils physiques,concevoir et rédiger des courriers, rapports, notes, ...,traiter et transmettre les décisions, les notes de service, les contrats en interne et en externe,organiser les déplacements du responsable ou de membres de l'équipe,préparer et organiser les réunions (convocations, préparation des dossiers, réservation de salles, ...),effectuer la frappe de documents, le traitement du courrier et la gestion des messages électroniques"
Assistanat technique et administratif (M1605),"participer au lancement d'appels d'offres (rédaction, émissions d'annonces officielles, ...) et au suivi des candidatures,constituer et saisir des dossiers de candidature de l'entreprise à un appel d'offres et en effectuer le suivi,concevoir et actualiser les outils de suivi d'activité de la structure au moyen de tableaux de bord, d'échéanciers, ...,organiser les réunions du groupe projet ou de la structure et rédiger les comptes rendus,renseigner les clients, les commanditaires sur l'avancée de leur dossier et transmettre les procès verbaux, l'état d'avancement, les échéanciers,effectuer le suivi comptable et budgétaire de l'entité par des opérations de facturation, de déblocage de fonds, de relance de financeurs, de saisie d'écritures comptables,saisir et mettre en forme les documents, les transmettre et les classer"
Secrétariat comptable (M1608),"effectuer l'accueil téléphonique et la réception des clients et les renseigner ou les orienter,saisir les données de comptabilité générale et enregistrer les écritures comptables,renseigner les déclarations fiscales (taxe sur la valeur ajoutée -tva, déclarations sociales).,suivre les éléments de la trésorerie de la structure par rapprochement bancaire, vérification des frais généraux et des factures, ...,elaborer les documents commerciaux et réaliser les opérations liées au recouvrement avec le suivi des paiements, la relance des impayés,effectuer les recherches documentaires en lien avec l'activité de la structure ou du service et les transmettre ou les archiver,saisir et mettre en forme les documents, les transmettre et les classer"
Administration des ventes (M1701),"définir les procédures administratives de traitement des commandes et en contrôler l'application,coordonner l'activité du service, analyser les supports de suivi d'activité et proposer des axes d'évolution,contrôler ou enregistrer les contrats de vente et informer le client sur le traitement de sa commande,participer à l'élaboration du planning de production selon les informations recueillies auprès des clients et des services internes,etablir la planification de traitement des commandes et déclencher l'ordre de production ou le transmettre au service concerné,suivre l'état d'avancement de la fabrication des produits et proposer des actions correctives,organiser l'expédition des commandes et informer les clients sur la mise à disposition des produits,contrôler le suivi administratif de comptes clients (avoirs, escomptes, encours, ...) et superviser la gestion de portefeuilles (dossiers de financement, solvabilité, ...),traiter des dossiers particuliers (litiges, ...) ou transmettre au service concerné,participer aux actions de gestion de ressources humaines (recrutement, formation, ...)"
