job_name,appellations,identité,compétences
Accueil et services bancaires (C1201),"Agent / Agente de Guichet de la poste
Caissier / Caissière de bureau de change
Caissier polyvalent / Caissière polyvalente
Caissier principal / Caissière principale en banque
Chargé / Chargée d'accueil en banque
Chargé / Chargée d'accueil et de services clientèle bancaire
Chargé / Chargée des opérations cash et des moyens de paiement
Conseiller / Conseillère accueil en agence bancaire
Conseiller / Conseillère d'accueil en banque
Guichetier / Guichetière accueil banque
Guichetier / Guichetière de banque
Guichetier payeur / Guichetière payeuse
Guichetier polyvalent / Guichetière polyvalente
Téléconseiller / Téléconseillère en banque","DÉFINITION
Accueille et oriente physiquement et téléphoniquement la clientèle - informe les clients sur les services/produits de base de la banque et de l'assurance. Réalise les opérations courantes de guichet selon les règles et consignes de sécurité des personnes et des biens.
Peut réaliser le suivi des besoins en numéraire de la structure.
ACCÈS À L'EMPLOI MÉTIER




CONDITIONS D'EXERCICE DE L'ACTIVITÉ","COMPÉTENCES DE BASE
SAVOIR FAIRE
Accueillir les clients et identifier leur demande ( informations, administration de comptes,…) et orienter la clientèle vers le service compétent
Effectuer les opérations bancaires courantes du guichet (dépôt, retrait d'espèces, remise de chèques, délivrance de chéquiers, cartes bancaires,...)
Informer le client sur les services/produits (placements, assurance vie, ...) selon son niveau de salaire, son épargne et ses projets
Sensibiliser les clients à l'utilisation des automates et des services à distance et les assister
Actualiser l'affichage publicitaire (affiches, dépliants, ...) ou celui des taux de change
Classer les documents et produits (cartes bancaires, chéquiers, lettres recommandées, ...) et les délivrer après vérification de l'identité
SAVOIR
COMPÉTENCES SPÉCIFIQUES"
Analyse de crédits et risques bancaires (C1202),"Analyste de crédits et risques bancaires
Analyste engagements bancaires
Analyste Know Your Customer - KYC
Analyste risques bancaires
Attaché / Attachée risques bancaires
Chargé / chargée risques opérationnels
Chargé / Chargée d'études crédits bancaires
Chargé / Chargée de l'évaluation des risques
Chargé / Chargée risques bancaires
Chargé / Chargée risques de crédits
Directeur / Directrice des risques bancaires
Gestionnaire engagements bancaires
Gestionnaire risques bancaires
Responsable crédit","DÉFINITION
Etudie et rend avis ou décision sur des demandes de crédits particuliers ou entreprises (immobilier, consommation, ...) et évalue les risques liés à leur octroi selon la stratégie commerciale et financière globale de l'établissement et la réglementation bancaire.
Peut élaborer des supports contractuels, effectuer le suivi des contrats d'assurances rattachés aux crédits.
Peut coordonner une équipe.
ACCÈS À L'EMPLOI MÉTIER


CONDITIONS D'EXERCICE DE L'ACTIVITÉ","COMPÉTENCES DE BASE
SAVOIR FAIRE
Procéder à une analyse technico-économique de la demande de crédit du client (situation financière, fiscale, ...)
Identifier les sources de risques (économiques, financiers, juridiques, ...) et évaluer la rentabilité de l'opération pour la banque
Etablir un compte rendu sur l'analyse de risques et présenter un avis technique (demande de garanties, ...)
Suivre les dossiers clients en débit et proposer des mesures correctives pour la remboursabilité des crédits à terme.
SAVOIR
COMPÉTENCES SPÉCIFIQUES"
Relation clients banque/finance (C1203),"Attaché commercial / Attachée commerciale bancaire entreprise
Attaché commercial / Attachée commerciale banque d'affaires
Attaché commercial / Attachée commerciale de banque
Chargé / Chargée d'affaires bancaires commerce international
Chargé / Chargée d'affaires bancaires entreprise
Chargé / Chargée d'affaires bancaires étrangères
Chargé / Chargée de clientèle bancaire grandes entreprises
Chargé / Chargée de comptes bancaires professionnels
Chargé / Chargée de développement clientèle bancaire entreprise
Customer Service Officer
Responsable grands comptes bancaires","DÉFINITION
Conseille et propose des solutions bancaires globales (stratégie d'immobilisation de capital, placement, ...) auprès d'un portefeuille de clients (grandes entreprises, institutionnels, ...) selon la politique commerciale de la banque et la réglementation bancaire.
Peut définir une stratégie commerciale sur son secteur/marché. Peut financer des transactions de commerce international.
Peut coordonner une équipe.
ACCÈS À L'EMPLOI MÉTIER



CONDITIONS D'EXERCICE DE L'ACTIVITÉ","COMPÉTENCES DE BASE
SAVOIR FAIRE
Préparer les entretiens commerciaux clients/prospects (consultation de dossiers clients, ...)
Identifier les besoins du client/prospect en fonction de sa situation financière et présenter l'offre commerciale globale de la banque
Proposer les services (gestion sous mandat, recouvrement de créance, ...), les produits adaptés à la gestion des comptes de la structure
Rendre décision sur les demandes de crédit en fonction de l'analyse du dossier client et du montant de délégation
Analyser les causes des découverts, des mouvements de trésorerie, ... des comptes clients et déterminer des mesures correctives
Développer un portefeuille de clients/prospects
Etablir les documents de synthèse (rapport de gestion, ...) et les rapports de performance (taux de rendement, ...) pour les clients du portefeuille géré
SAVOIR
COMPÉTENCES SPÉCIFIQUES"
Conception et expertise produits bancaires et financiers (C1204),"Chargé / Chargée d'affaires produits financiers
Chargé / Chargée d'affaires financements spécialisés
Chargé / Chargée produits monétiques
Chef de département corporate banking
Chef de département marketing et nouveaux produits bancaires
Chef de produits bancaires
Responsable de produits bancaires
Responsable marché bancaire","DÉFINITION
Réalise l'étude, la conception et la mise sur le marché de produits bancaires selon la stratégie et l'offre commerciale globale de la banque et la réglementation bancaire.
Peut définir un plan média, rendre décision sur l'octroi de crédits.
Peut coordonner une équipe.
ACCÈS À L'EMPLOI MÉTIER



CONDITIONS D'EXERCICE DE L'ACTIVITÉ","COMPÉTENCES DE BASE
SAVOIR FAIRE
Identifier les évolutions des produits financiers et des besoins des clients en fonction des données du marché bancaire
Définir les caractéristiques de nouveaux produits, l'adaptation de produits existants
Etudier la faisabilité économique et technique du produit sur le marché bancaire ciblé et déterminer le planning de lancement
Définir et mettre en oeuvre des visites de clientèle, prospections, phoning, ...
Elaborer les supports d'information destinés aux équipes commerciales (plaquettes de publicité, notices Autorité des Marchés Financiers , ...)
Suivre et analyser les indicateurs de performance des produits et proposer des ajustements
Apporter un appui commercial et technique à des collaborateurs
SAVOIR
COMPÉTENCES SPÉCIFIQUES"
Conseil en gestion de patrimoine financier (C1205),"Conseiller / Conseillère en développement de patrimoine
Conseiller / Conseillère en gestion de fortune
Conseiller / Conseillère en gestion de patrimoine financier
Conseiller / Conseillère en patrimoine financier
Gestionnaire de patrimoine financier","DÉFINITION
Conseil et guide une clientèle de particuliers/personnes physiques dans le choix d'investissements/placements pour constituer ou optimiser leur patrimoine financier selon la réglementation bancaire et financière.
Peut mettre en oeuvre des mandats de gestion.
Peut diriger une structure.
ACCÈS À L'EMPLOI MÉTIER

CONDITIONS D'EXERCICE DE L'ACTIVITÉ","COMPÉTENCES DE BASE
SAVOIR FAIRE
Consulter les fichiers clients en préparation des entretiens programmés
Analyser la situation financière du client et réaliser un bilan de sa structure patrimoniale (assurance vie, valeurs mobilières, ...)
Définir avec le client ses objectifs (constitution d'une épargne, défiscalisation, ...) selon ses besoins (régime matrimonial, succession, ...)
Etablir une étude patrimoniale, proposer les cadres juridiques, fiscaux et les produits adaptés (assurance vie, portefeuille boursier, ...)
Déterminer une stratégie financière (achat de titres, assurance vie, immobilier, ...) et orienter si besoin le client vers un avocat, un notaire ou un gérant de portefeuille
Etablir ou vérifier les documents justificatifs de placement, les rapports de rentabilité des produits financiers contractés et les adresser au client
Suivre et mettre à jour les dossiers clients à chaque évènement (cession de biens, succession, divorce, ...)
SAVOIR
COMPÉTENCES SPÉCIFIQUES"
Gestion de clientèle bancaire (C1206),"Attaché / Attachée de clientèle de banque
Chargé / Chargée de clientèle bancaire
Chargé / Chargée de clientèle commerciale de banque
Chargé / Chargée de clientèle de banque
Chargé / Chargée de clientèle entreprises de banque
Chargé / Chargée de clientèle particuliers de banque
Chargé / Chargée de clientèle PME
Chargé / Chargée de clientèle professionnelle de banque
Conseiller commercial / Conseillère commerciale en banque","DÉFINITION
Assure le conseil, la promotion et la vente des produits et services financiers de son établissement, auprès d'une clientèle de particuliers, de professionnels et d'entreprises, selon la réglementation bancaire.
Peut réaliser des analyses de marché d'entreprises. Peut accorder ou refuser des demandes de prêts.
Peut aussi proposer des produits d'assurances.
ACCÈS À L'EMPLOI MÉTIER



CONDITIONS D'EXERCICE DE L'ACTIVITÉ","COMPÉTENCES DE BASE
SAVOIR FAIRE
Consulter les fichiers clients en préparation des entretiens programmés
Réaliser un bilan de la situation financière du client et effectuer des propositions commerciales
Proposer le service/produit financier adapté à la demande du client
Arrêter avec le client les conditions des contrats (mensualités, taux de rapport, ...) selon les produits et services
Renseigner les formulaires de contractualisation, collecter et transmettre des pièces justificatives pour décision
Développer un portefeuille de clients/prospects
Effectuer la veille des comptes débiteurs, analyser les causes (perte d'emploi, surendettement, ...) et rechercher des solutions amiables
SAVOIR
COMPÉTENCES SPÉCIFIQUES"
Management en exploitation bancaire (C1207),"Adjoint / Adjointe Chef d’Agence
Chef d'agence bancaire
Chef de zone d'établissement financier
Chef d’Agence Succursales
Directeur / Directrice d'exploitation bancaire
Directeur / Directrice d'agence bancaire
Directeur / Directrice de centre d'affaires bancaires
Directeur régional / Directrice régionale de banques
Responsable d'agence bancaire
Responsable de groupe d'agences bancaires
Second Chef d’Agence","DÉFINITION
Organise la planification et le fonctionnement d'une structure bancaire (caisse locale, service, bureau, agence, ...) selon les orientations de la politique commerciale de la banque et la réglementation bancaire.
Peut gérer un portefeuille de clients, représenter son établissement auprès d'instances administratives ou juridiques et former des collaborateurs à divers produits financiers.
ACCÈS À L'EMPLOI MÉTIER



CONDITIONS D'EXERCICE DE L'ACTIVITÉ","COMPÉTENCES DE BASE
SAVOIR FAIRE
Réaliser un état des lieux de l'opérationnalité de la structure (agence bancaire, groupe d'agences, ...)
Suivre les états d'alerte (comptes débiteurs, placements à échéance, ...) de la structure et déterminer les actions à engager (rejet de paiement, procédure de sanction, ...)
Rendre décision sur les dossiers de financement selon la délégation en charge
Réaliser le contrôle interne des actes bancaires (administration de comptes, passation d'ordres de bourse, ...)
Suivre la comptabilité de la structure et vérifier l'enregistrement des opérations bancaires, les justificatifs comptables réglementaires
Représenter la structure auprès d'instances de décision (comité interne, ...) ou lors d’événements (salons professionnels, ...)
Evaluer l'activité de la structure (revenu brut d'exploitation, produit net bancaire réalisé, ...) et définir les actions correctrices (campagne commerciale de proximité, ...)
SAVOIR
COMPÉTENCES SPÉCIFIQUES"
Front office marchés financiers (C1301),"Cambiste
Commis / Commise d'agent de change
Commis / Commise de société d'investissement
Démarcheur en Bourse/ Démarcheuse en Bourse
Négociateur / Négociatrice en Bourse
Négociateur / Négociatrice salle des marchés
Opérateur / Opératrice sur marchés financiers
Trader
Vendeur / Vendeuse produits de marchés financiers","DÉFINITION
Emet des ordres de placement, d'achat et de vente de produits boursiers (taux, titres, ...) sur les marchés financiers sous le contrôle de Conseil du Marché Financier -CMF- et selon la législation financière.
Peut coordonner une équipe.
ACCÈS À L'EMPLOI MÉTIER



CONDITIONS D'EXERCICE DE L'ACTIVITÉ","COMPÉTENCES DE BASE
SAVOIR FAIRE
Analyser l'information financière, économique et géopolitique pouvant impacter les marchés
Suivre les valeurs boursières, les indices de référence et établir les courbes d'évolution des produits financiers
Evaluer les risques de perte financière, la marge par rapport au prix du produit et à la durée de l'investissement
Proposer une stratégie d'investissement, des orientations d'achats, ... et émettre des ordres d'achat/vente
Mettre à jour les fichiers clients, répertorier les ordres d'achat/vente passés sur la période et les transmettre au service middle ou back-office
SAVOIR
COMPÉTENCES SPÉCIFIQUES"
Gestion back et middle-office marchés financiers (C1302),"Agent / Agente de back-office
Agent / Agente de middle-office
Chargé / Chargée de back-office
Directeur de back-office
Expert / Experte back-office
Expert / Experte middle-office
Gestionnaire de back-office
Gestionnaire de middle-office
Gestionnaire des opérations sur les marchés financiers
Opérateur / Opératrice back-office
Opérateur / Opératrice middle-office
Responsable de back-office
Responsable de middle-office","DÉFINITION
Organise le suivi, le contrôle et l'enregistrement des opérations réalisées sur les marchés financiers (de change, de titres, ...) selon les procédures qualité de l'établissement d'appartenance et les réglementations bancaires et financières.
Peut définir les procédures de traitement des opérations de marché. Peut réaliser le suivi qualité des procédures administratives.
Peut coordonner une équipe.
ACCÈS À L'EMPLOI MÉTIER



CONDITIONS D'EXERCICE DE L'ACTIVITÉ","COMPÉTENCES DE BASE
SAVOIR FAIRE
Paramétrer les outils de gestion des opérations de marché (cession, confirmation, règlement/livraison, ...) après mise à jour des référentiels (valeurs, portefeuille, émetteur, ...)
Déterminer les résultats quotidiens par produit, ligne de produits (titres, taux, ...) et établir les courbes d'évolution
Vérifier les enregistrements comptables des opérations de marché et corriger les écarts par rapport aux états des opérateurs/négociateurs
Valoriser les portefeuilles d'actifs financiers en continu
Effectuer la gestion des règlements/livraisons (message de paiement, contrôle de dénouement, ...) et des évènements sur titres (paiement de coupon/dividende, ...)
Contrôler le respect des limites des sommes engagées par les opérateurs financiers et prendre les mesures correctives
Etablir les rapports périodiques de gestion, de performance, ...
SAVOIR
COMPÉTENCES SPÉCIFIQUES"
Gestion de portefeuilles sur les marchés financiers (C1303),"Asset Manager
Attaché / Attachée de gestion sous mandat
Gérant / Gérante d'obligations
Gérant / Gérante d'Organisme de Placement Collectif -OPCVM-
Gérant / Gérante de Société d'Investissement -SICAV-
Gérant / Gérante obligataire
Gestionnaire d'Actif
Gestionnaire de portefeuille financier
Gestionnaire Obligataire","DÉFINITION
Optimiser le rendement de portefeuilles constitués d'actifs financiers pour le compte de tiers (entreprises, particuliers, institutionnels) ou pour l'entreprise d'appartenance, sous le contrôle du Conseil des Marchés Financiers -CMF- et selon la législation.
ACCÈS À L'EMPLOI MÉTIER



CONDITIONS D'EXERCICE DE L'ACTIVITÉ","COMPÉTENCES DE BASE
SAVOIR FAIRE
Analyser l'information financière, économique et géopolitique pouvant impacter les marchés
Identifier les objectifs et les priorités des clients (valorisation de capital, fonds sécurisés, revenu régulier, ...)
Calculer la valeur quotidienne de chaque actif financier du portefeuille, son évolution et mesurer les risques financiers
Identifier les besoins en renouvellement de titres/actifs financiers du portefeuille selon leur courbe d'évolution et les indices des marchés financiers
Surveiller l'équilibre de répartition du portefeuille (actions, obligations, ...) suivant les critères de rentabilité souhaités
Réguler la vente d'actifs financiers sur le marché boursier
Etablir des rapports de gestion, de performance du portefeuille et les transmettre à la hiérarchie, au Conseil du Marché Financier -CMF-, aux clients, ...
SAVOIR
COMPÉTENCES SPÉCIFIQUES"
Gestion en banque et assurance (C1401),"Agent / Agente technique de banque
Agent administratif / Agente administrative d'assurances
Agent administratif / Agente administrative de banque
Agent administratif/Agente administrative back-office marché
Agent(e) administratif(ive) des opérations bancaires
Agent(e) administratif(ve) middle-office marché
Aide-rédacteur / Aide-rédactrice d'assurances
Assistant(e) administratif(ve) d'assurances
Technicien(ne) administratif(ve) de banque","DÉFINITION
Réalise le suivi administratif de dossiers, la saisie ou la vérification d'opérations bancaires (ordres de bourse, remises de chèque, ...) ou d'assurance (saisie des contrats, mise à jour de cotisation, ...), selon la réglementation de l'assurance ou la réglementation bancaire.
Peut effectuer la gestion de contrats d'assurances (appel à cotisation, ...).
Peut réaliser des opérations commerciales (démarchage téléphonique, ...).
ACCÈS À L'EMPLOI MÉTIER



CONDITIONS D'EXERCICE DE L'ACTIVITÉ","COMPÉTENCES DE BASE
SAVOIR FAIRE
Effectuer l'accueil téléphonique et la réception des clients et les renseigner ou les orienter
Procéder à l'enregistrement, au tri, à l'affranchissement du courrier
Enregistrer et contrôler les pièces constitutives de dossiers administratifs (relevé de situation, pièce d'identité, fichier Banque de France, ...)
Effectuer la vérification et le suivi des dossiers des clients/prospects/assurés
Codifier et saisir les données clients (enregistrement de chèques, ordres de bourse, ...) et mettre à jour les tableaux de suivi
Elaborer les attestations fiscales, échéanciers de cotisations, relevés boursiers, relevés de situation des clients, ... et les documents de suivi de l'activité
SAVOIR
COMPÉTENCES SPÉCIFIQUES"
Gérance immobilière (C1501),"Chef d'agence locatif immobilier
Conseiller / Conseillère technique en immobilier
Contrôleur technique de gérance immobilière
Directeur / Directrice de gérance locative en immobilier
Directeur Régional/ Directrice Régionale de parc locatif immobilier
Gérant / Gérante de copropriété
Gérant / Gérante de portefeuille immobilier
Gestionnaire de portefeuille immobilier
Syndic d'immeuble
Syndic de copropriété","DÉFINITION
Administre un ou plusieurs site(s) immobilier(s) et met en oeuvre les moyens techniques, administratifs, financiers et comptables de conservation ou d'amélioration du patrimoine immobilier selon la réglementation.
Peut coordonner une équipe, diriger une structure.
ACCÈS À L'EMPLOI MÉTIER

CONDITIONS D'EXERCICE DE L'ACTIVITÉ","COMPÉTENCES DE BASE
SAVOIR FAIRE
Définir ou mettre en oeuvre la stratégie de gestion du patrimoine immobilier (loyers, charges, baux, entretien, peuplement, ...)
Définir et planifier les travaux d'entretien, de rénovation, de réhabilitation, de construction ou d'aménagement du patrimoine immobilier
Evaluer et étudier la faisabilité technique, juridique et financière d'un projet
Piloter la préparation de travaux et sélectionner les entreprises, les prestataires
Suivre et contrôler la conformité des travaux jusqu'à la réception
Effectuer la gestion et le suivi des contrats de maintenance et d'entretien du patrimoine immobilier
Mettre en place les actions (contentieux, recouvrement, ...) à la suite de réclamations ou d'anomalies
Suivre les budgets et renseigner les documents comptables, juridiques, fiscaux, ...
SAVOIR
COMPÉTENCES SPÉCIFIQUES"
Gestion locative immobilière (C1502),"Agent / Agente d'état des lieux
Agent / Agente de gestion locative en immobilier
Assistant / Assistante de gestion locative en immobilier
Chargé / Chargée d'attribution en immobilier
Chargé / Chargée de clientèle en immobilier locatif
Chargé / Chargée de gestion locative en immobilier
Chargé / Chargée du précontentieux immobilier
Employé / Employée de gestion de copropriété
Employé / Employée de gestion immobilière
Gestionnaire administratif / administrative immobilier
Gestionnaire de galerie marchande
Responsable de clientèle immobilier locatif
Responsable de gestion immobilière locative","DÉFINITION
Effectue la gestion locative et administrative d'un portefeuille de biens immobiliers dans les domaines de l'entretien, du nettoyage, de l'hygiène et de la sécurité technique notamment. Veille à la cohérence et à la qualité des services rendus aux clients et aux bonnes relations avec le bailleur.
Donne un premier niveau d'information aux différents interlocuteurs (locataires, prestataires, personnels de proximité, ...).
Peut être amené à recruter ou former du personnel dit de « proximité » (gardiens, agents d'entretien, agents d'immeuble).
ACCÈS À L'EMPLOI MÉTIER


CONDITIONS D'EXERCICE DE L'ACTIVITÉ","COMPÉTENCES DE BASE
SAVOIR FAIRE
Analyser les demandes de location, procéder au suivi des vacances de logements et proposer l'attribution de logements
Etablir les baux immobiliers et effectuer le suivi administratif de recouvrement des loyers et charges (quittances, déclenchement des procédures en cas d'impayés, ...)
Actualiser les informations communiquées aux locataires et répondre aux demandes et réclamations de la clientèle
Collaborer à la programmation et à la réalisation d'actions de réhabilitation de patrimoine immobilier
Evaluer les travaux d'entretien ou de réparation du patrimoine immobilier et préparer les demandes d'intervention
Renseigner les supports de suivi d'activité et transmettre les informations au service concerné
Contrôler la conformité de réalisations de fournisseurs, sous-traitants, prestataires
SAVOIR
COMPÉTENCES SPÉCIFIQUES"
Management de projet immobilier (C1503),"Assistant / Assistante en montage d'opérations immobilières
Assistant / Assistante en promotion immobilière
Chargé / Chargée d'opérations logement social
Chargé / Chargée de programme immobilier neuf
Chargé / Chargée de prospection et de développement foncier
Conducteur / Conductrice d'opérations immobilières
Constructeur / Constructrice de maisons individuelles
Directeur / Directrice de la construction immobilière
Directeur / Directrice de la promotion immobilière
Directeur / Directrice de nouveaux programmes immobiliers
Lotisseur / Lotisseuse
Monteur / Monteuse d'opérations immobilières
Négociateur foncier / Négociatrice foncière
Pilote d'opérations immobilières
Promoteur-constructeur / Promotrice-constructrice
Responsable foncier monteur / foncière monteuse d'opérations
Responsable habitat - logement
Responsable programme réhabilitation immobilière","DÉFINITION
Supervise les études de faisabilité techniques, financières, administratives de projets, programmes immobiliers en fonction des besoins d'une clientèle potentielle ou d'une collectivité. Assure le lancement et la pré-commercialisation des réalisations immobilières selon la réglementation, les délais et les objectifs de rentabilité.
Coordonne les différentes étapes du projet immobilier: conception (étude, montage du dossier, ...), choix des maîtres d'oeuvres, construction, réception des ouvrages.
Peut assister les responsables de programmes immobiliers (suivi des contrats de réservation, suivi des appels de fonds, situation des travaux, préparation des livraisons, ...).
Peut prospecter les terrains à bâtir.
Peut coordonner une équipe, diriger une structure.
ACCÈS À L'EMPLOI MÉTIER




CONDITIONS D'EXERCICE DE L'ACTIVITÉ","COMPÉTENCES DE BASE
SAVOIR FAIRE
Suivre et analyser l'évolution du marché foncier de l'immobilier et de la construction
Prospecter le marché (terrains à bâtir et biens immobiliers, ... ), étudier la faisabilité et la rentabilité du projet
Etablir les budgets prévisionnels, les montages juridiques et financiers et suivre les procédures administratives (certificat d'urbanisme, permis de construire, ...)
Effectuer les procédures d'acquisition du terrain, du bien immobilier
Déterminer les commandes de travaux (maîtrise, ingénierie, ...) et sélectionner les entreprises et les architectes, maîtres d'oeuvre, ...
Suivre et coordonner les différents intervenants, prestataires (techniques, commerciaux, juridiques, études, maîtres d'oeuvre, ...)
Contrôler la conformité de réalisation du projet, du chantier, des prestations et effectuer des ajustements
SAVOIR
COMPÉTENCES SPÉCIFIQUES"
Transaction immobilière (C1504),"Agent / Agente de location immobilière
Agent / Agente immobilier
Agent commercial / Agente commerciale en immobilier
Assistant commercial / Assistante commerciale en immobilier
Attaché commercial / Attachée commerciale en immobilier
Conseiller / Conseillère de location en immobilier
Conseiller / Conseillère de transaction en immobilier
Conseiller / Conseillère de vente en immobilier
Conseiller / Conseillère en immobilier d'entreprise
Conseiller / Conseillère immobilier
Mandataire en vente de fonds de commerce
Marchand / Marchande de biens immobiliers
Négociateur / Négociatrice en immobilier
Négociateur / Négociatrice en immobilier d'entreprise
Négociateur / Négociatrice en location immobilière
Négociateur / Négociatrice immobilier
Négociateur / Négociatrice immobilier en bureau de vente
Prospecteur(trice) négociateur(trice) en immobilier
Responsable d'agence immobilière
Responsable de clientèle en transaction immobilière
Responsable de vente immobilière
Vendeur / Vendeuse en immobilier neuf
Vendeur / Vendeuse immobilier","DÉFINITION
Réalise des transactions immobilières et/ou foncières (location, vente) et conseille des clients sur les possibilités d'acquisition, de location, de vente selon la législation de l'immobilier.
Peut être spécialisé dans un domaine (immobilier d'entreprise, de commerce, ...).
Peut diriger une agence immobilière ou un réseau d'agences.
ACCÈS À L'EMPLOI MÉTIER


CONDITIONS D'EXERCICE DE L'ACTIVITÉ","COMPÉTENCES DE BASE
SAVOIR FAIRE
Rechercher les biens immobiliers, les terrains et prospecter les clients
Définir les besoins du client (prix, superficie, situation, ...) et formaliser la demande de transaction
Evaluer la valeur d'un bien immobilier et conseiller le client sur les améliorations et les obligations réglementaires
Réaliser le descriptif de présentation et de valorisation du bien immobilier (plan, photos, ...) et les actions de promotion commerciale
Présenter un bien immobilier à un client et informer sur les modalités d'acquisition
Négocier et arrêter la transaction immobilière, recueillir les informations et documents (revenus, mandats, ...)
Assister et conseiller le client jusqu'au terme de la transaction (plan de financement, obtention de documents administratifs, ...)
SAVOIR
COMPÉTENCES SPÉCIFIQUES"
Représentation de l'Etat sur le territoire national ou international (K1405),"Ambassadeur / Ambassadrice
Consul général / Consule générale
délégué
Gouverneur","DÉFINITION
Assure la représentation de l'Etat tunisien dans une circonscription (gouvernorat, région, ...) ou sur un territoire (pays étranger). Est garant de l'application et du respect des règles/lois fixées par le Gouvernement et intervient au nom de l'Etat dans toute situation où la présence de l'Etat le nécessite (crise politique, catastrophe naturelle, fermeture d'un site industriel, ...).
Peut intervenir dans des domaines ou dans des contextes spécifiques (domaine économique, ...), en fonction des particularités des pays, des régions, des gouvernorats, ...
ACCÈS À L'EMPLOI MÉTIER



CONDITIONS D'EXERCICE DE L'ACTIVITÉ","COMPÉTENCES DE BASE
SAVOIR FAIRE
Expliciter les positions de l'Etat, la politique gouvernementale auprès des responsables de collectivités territoriales, des autorités étrangères et de l'opinion publique
Suivre l'évolution de la conjoncture de la circonscription ou du pays et en informer le Gouvernement et les autorités tunisiennes
Animer les actions et coordonner les moyens de services déconcentrés de l'Etat ou de services à l'étranger
Etablir des accords, des conventions, des relations contractuelles au nom de l'Etat avec des collectivités locales, des associations et des partenaires locaux
Représenter le Gouvernement lors de cérémonies officielles et d'interventions publiques (inaugurations, voeux, accueil de personnalités, ...)
SAVOIR
COMPÉTENCES SPÉCIFIQUES"
Application des règles financières publiques (K1501),"Agent / Agente de contrôle des impôts
Agent / Agente de recouvrement du Trésor
Attaché / Attachée de contrôle des impôts
Attaché / Attachée de recouvrement du Trésor","DÉFINITION
Etablit les différentes impositions (taxe d'habitation, impôts sur le revenu ou sur les sociétés, recensement du patrimoine foncier, ...) et procède à la collecte des recettes publiques, selon les règles de finances publiques.
Tient la comptabilité de l'Etat et des collectivités locales. Peut effectuer le contrôle et le paiement de dépenses de l'Etat .
ACCÈS À L'EMPLOI MÉTIER



CONDITIONS D'EXERCICE DE L'ACTIVITÉ","COMPÉTENCES DE BASE
SAVOIR FAIRE
Effectuer la collecte et la saisie des données nécessaires à l'établissement des droits ou taxes (droit de cession, TVA, impôts sur le revenu, ...)
Procéder à la tenue de la comptabilité de l'Etat, des collectivités locales et des établissements publics
Réaliser le contrôle et le paiement des dépenses (traitements, pensions, investissement, ...) de l'Etat, de collectivités locales, d'établissements publics
Procéder à la tenue et au traitement de fichiers de contribuables
Renseigner les particuliers/entreprises et leur apporter un appui technique sur le paiement de l'impôt, ...
Déterminer l'assiette des impôts (taxe locale, impôts sur le revenu, ...) ou effectuer un contrôle de premier niveau des impositions
Encaisser/recouvrer les impôts ou les créances des collectivités locales (crèches, cantines scolaires, ...)
SAVOIR
COMPÉTENCES SPÉCIFIQUES"
Contrôle et inspection des Affaires Sociales (K1502),"Attaché / Attachée d’inspection social
Inspecteur / Inspectrice central du travail
Inspecteur / Inspectrice de l'action sanitaire et sociale
Inspecteur / Inspectrice de l'emploi
Inspecteur / Inspectrice du travail
Inspecteur / Inspectrice du travail des transports
Inspecteur / Inspectrice du travail en agriculture
Inspecteur / Inspectrice en chef du travail
Inspecteur / Inspectrice général du travail","DÉFINITION
Contrôle l'application des dispositions réglementaires définies par les pouvoirs publics en matière de santé publique, d'action sociale, et de protection des droits des salariés (accords collectifs, conditions de travail, contrats de travail, horaires, rémunérations, ...). Apporte un appui aux entreprises, usagers (informations sur leurs droits, évolutions de la législation, ...), selon les réglementations sociales.
Peut participer à des audiences judiciaires en tant que témoin ou expert.
Peut coordonner une équipe.
ACCÈS À L'EMPLOI MÉTIER


CONDITIONS D'EXERCICE DE L'ACTIVITÉ","COMPÉTENCES DE BASE
SAVOIR FAIRE
Instruire les requêtes/plaintes des salariés, des employeurs, ... par une enquête, une mise en place de procédures
Procéder à des visites d'inspection et de contrôle des entreprises, des institutions sanitaires et sociales et vérifier l'application de la législation
Constater les infractions et prendre les mesures appropriées (rappel des obligations légales, mise en demeure, procès-verbal, ...)
Mettre en oeuvre les politiques en matière de législation du travail, de santé publique et conseiller les établissements de santé, organismes d'assurance maladie, ...
Effectuer le traitement et le suivi administratif des rapports de contrôle, des comptes rendus de visites, des procès-verbaux
SAVOIR
COMPÉTENCES SPÉCIFIQUES"
